	sequences per sample	iteration	s934.8	w1116.2	s934.7	s1116.1	s934.3	s1116.8	w1274.8	w1274.4	h1600.5	w1204.1	w1274.1	w1204.6	h1468.1	w1204.7	w1116.8	w1116.5	w1274.5	h1468.6	h1468.7	w1204.2	h1468.4	s800.6	s934.1	s934.5	s934.6	s1116.4	w1274.2	w1274.7	w1204.8	s1116.2	s1024.6	s1024.4	w1116.7	w1204.5	h1600.6	h1468.5	w1116.3	h1468.2	s800.3	s800.5	s1116.7	s934.2	s1024.2	w1116.1	s1024.8	s1116.3	s1116.5	s1024.5	s800.1	s800.8	s800.4	s934.4	s800.7	s800.2	s1024.1	h1600.7	h1600.1	h1600.2	w1204.3	h1600.4	h1468.3	w1274.6	w1116.6	h1468.8	w1116.4	s1116.6	s1024.7	w1204.4	s1024.3
alpha_rarefaction_10_0.biom	10	0	1.87892	3.16077	3.07903	3.52503	2.68684	3.04066	3.38566	2.27062	2.9256	1.82608	2.67439	2.82544	3.05458	2.62768	3.45849	2.46287	1.8731	2.90835	2.24548	3.68319	2.51478	3.04355	3.82806	2.61831	2.36777	2.91689	2.46958	2.48044	2.05247	1.99193	2.39172	2.15876	2.01252	3.33934	2.99472	2.44027	2.45934	2.43817	2.58492	3.19108	3.15987	2.53035	3.70132	2.83293	2.0191	2.55398	2.66688	2.95951	2.36487	2.49139	3.39001	2.89893	2.50121	2.53952	1.92404	3.33656	1.21486	2.46018	2.82559	3.1091	2.81007	1.79337	2.14488	1.90834	2.36813	2.83032	2.70771	2.08104	2.62816
alpha_rarefaction_10_1.biom	10	1	2.5811	2.15329	3.51707	3.26681	2.53705	2.65518	2.25449	2.85148	2.79003	2.58293	2.67575	2.66018	2.14698	2.60454	2.26915	2.05204	2.18392	3.49178	2.9023	3.3061	2.39487	3.01051	3.23917	3.31094	3.1407	2.3963	2.63906	1.94796	2.86627	1.88143	2.45619	3.23651	2.79919	2.46222	2.76855	2.80984	2.64301	2.64431	2.15496	2.74323	1.37996	2.77256	2.60584	2.50333	2.97803	3.08221	1.8941	2.64038	2.35166	3.16973	2.70931	2.49819	2.86369	2.36977	3.01627	2.69062	2.62142	2.51999	2.81707	1.97741	2.78907	2.37585	1.65188	2.8407	2.85666	1.68983	2.51634	2.64599	2.99068
alpha_rarefaction_10_2.biom	10	2	2.41335	1.90794	2.49366	3.46989	2.9022	2.56151	3.01251	2.62854	3.18325	1.81817	2.87767	2.85627	3.50778	2.74292	3.56676	2.59166	1.92283	3.03621	1.87414	2.67324	3.6347	2.5241	3.15013	3.14645	3.63578	2.92979	2.97515	2.7807	2.34751	2.40136	2.39114	3.72439	2.31424	3.44453	2.02104	3.55078	2.21993	1.83159	2.13736	2.52086	2.9176	1.57412	3.36254	3.76194	3.1237	1.63958	2.2342	1.99124	2.29347	2.28197	2.79639	2.53438	2.64884	2.75346	2.90092	2.6196	2.54849	2.76196	1.79288	2.75925	2.90576	2.69647	2.77019	1.96125	2.56596	1.84275	1.33443	2.6906	1.34361
alpha_rarefaction_10_3.biom	10	3	2.68578	2.90508	2.58759	2.56296	3.25469	2.85371	2.5502	3.24415	3.31325	1.55681	1.8322	2.52598	4.06599	3.41153	4.25141	3.13978	2.39007	3.70769	2.66941	2.35247	2.61907	3.30274	2.5894	3.02653	2.9732	3.03999	1.2835	2.66739	3.40415	2.37234	1.83916	4.29473	2.34459	2.41521	2.29343	2.56061	3.04303	2.74633	2.23623	2.47839	2.02526	1.99256	3.60882	2.98955	2.91299	2.19065	2.15094	2.23637	2.83671	3.16009	3.17594	2.51169	2.45209	3.22852	1.72405	1.27764	2.32442	1.86709	3.97106	3.02179	2.0344	2.88748	2.21067	3.12554	2.2916	2.63431	2.25124	1.91502	1.48334
alpha_rarefaction_10_4.biom	10	4	2.87579	3.59464	2.76771	3.23105	2.77026	2.83347	1.87065	2.95461	3.91851	1.94515	2.40747	2.5691	2.77772	2.59446	2.91633	3.11724	2.88894	2.92342	2.89409	2.39863	2.20855	3.40454	3.47223	2.87624	2.90176	2.66211	3.18897	2.74196	1.6701	2.40023	2.88703	2.88673	2.49508	3.48559	2.24597	2.62451	1.78419	3.47817	2.18842	1.66994	4.39988	2.92837	3.05375	3.14312	2.32018	1.72715	2.12851	2.38296	2.16521	3.30082	3.6971	3.09192	1.51273	2.99048	2.55498	3.23905	1.52228	2.39688	2.0095	2.07384	2.40663	2.20561	2.28282	2.2847	2.67995	2.43885	2.66378	2.37221	2.66767
alpha_rarefaction_10_5.biom	10	5	2.45585	1.77112	2.46951	3.29272	1.8386	2.0272	2.63349	2.39222	3.37919	2.13618	2.28956	2.3731	3.23143	1.79221	3.05855	3.41513	2.15336	3.35494	3.16028	2.75341	2.68943	1.89747	3.06525	2.30861	2.98772	3.06309	2.82077	2.80274	2.77372	2.56891	2.1334	3.52131	2.69094	2.6912	2.21545	3.27092	2.63207	2.34035	1.88971	3.53837	2.42626	1.87038	2.59604	3.46708	1.93927	3.09903	2.60955	2.95863	2.36077	2.1368	1.71119	2.62487	2.83259	2.64813	1.96246	3.28273	2.76911	2.7747	1.98572	2.99764	2.84253	2.63601	2.09328	3.6022	2.16303	2.05142	1.60007	2.62398	1.47855
alpha_rarefaction_10_6.biom	10	6	1.64088	3.65888	2.3412	3.04	1.61389	3.08444	2.13524	2.3665	1.82777	1.86138	3.07695	3.28509	2.9292	3.22814	3.62002	3.04116	1.68491	3.95149	2.32634	2.77406	2.72628	3.08594	2.21885	2.83795	2.69859	1.84179	2.82676	2.39484	2.36946	2.59212	2.51474	3.14403	2.36907	2.31662	2.20113	3.09433	2.30677	2.74477	2.97292	2.77824	2.44398	3.32976	2.81549	3.59371	1.47354	2.47783	3.12113	2.40972	2.27679	3.03009	1.98762	2.48284	3.39294	2.31987	2.81441	2.66228	2.36788	3.79122	2.26929	3.10824	2.73636	2.1759	1.88489	1.9989	2.758	2.03412	2.992	2.54016	2.61732
alpha_rarefaction_10_7.biom	10	7	1.91343	3.20076	2.85966	4.39127	2.60943	3.24574	2.74533	2.09756	2.61945	1.46095	1.67237	2.77322	3.52868	3.72154	2.98899	2.24468	3.17213	2.21788	2.76643	2.42293	3.52242	2.72165	3.75328	3.07655	2.7993	2.05682	2.33323	2.63162	3.38036	2.0264	2.47711	3.50875	1.93298	2.8725	1.2532	3.18012	2.73021	2.25081	2.43858	3.01062	2.95974	2.06671	3.31129	2.68443	3.36929	3.98681	2.40633	3.4967	3.00727	2.20818	3.18463	2.54916	2.8084	2.62352	1.63307	2.14656	1.76118	2.84827	3.47893	3.18989	1.5282	3.12637	2.08134	2.75364	2.54205	2.06504	2.11138	3.02743	1.48375
alpha_rarefaction_10_8.biom	10	8	1.19803	2.5927	2.13941	2.94692	3.11289	3.55467	2.36334	2.90126	2.23732	2.73096	2.45687	2.57172	2.70779	2.47773	2.76613	3.72139	3.00312	3.64084	2.79989	2.78926	2.38396	2.46933	3.01607	2.5043	2.36708	2.65728	2.98334	2.45579	2.25368	1.8586	2.73136	4.17366	2.13824	3.06042	2.02551	3.06878	3.44348	3.16186	1.2405	2.70126	1.61872	1.79053	2.33165	2.91173	1.40609	1.79631	2.30688	2.79421	2.32769	3.55849	2.74359	2.97851	2.09765	2.42668	2.64791	2.60429	3.14408	3.29539	2.43702	3.08184	2.83949	2.50283	2.16851	2.27208	2.51162	2.64561	3.1259	2.22264	1.43185
alpha_rarefaction_10_9.biom	10	9	1.96714	3.01989	2.86555	2.87581	2.71362	3.06736	2.37783	2.19931	2.53024	2.94262	2.52922	1.92283	2.39723	2.4326	3.41404	3.14766	1.82081	2.7554	2.99676	3.34599	2.74694	2.84402	3.0924	3.21999	2.74759	2.41244	2.14505	2.4399	2.82273	2.30456	2.74794	3.29582	2.23626	2.89825	2.43125	2.78	2.08969	1.87551	2.79434	3.03979	2.95639	2.81182	3.31875	2.86123	3.17231	1.85847	1.47141	2.65226	3.02431	3.07072	3.15706	2.73717	2.08713	2.39522	2.39315	3.10139	1.86727	3.71432	2.87575	2.98684	3.4531	2.99937	2.40421	3.59501	1.9009	2.41728	2.15653	2.44303	1.66028
