Taxon	h1468	h1600	s800	s934	s1024	s1116	w1116	w1204	w1274
k__Bacteria;p__Other	0.008231505	0.006045782	0.007602326	0.007436236	0.010099942	0.00762161	0.009305088	0.00535028	0.007712326
k__Bacteria;p__AD3	0.00048571	0.004199742	0.000196049	0.0009498	0.000185077	0.000224165	7.42E-05	8.74E-05	0.000615093
k__Bacteria;p__Acidobacteria	0.508819469	0.411574672	0.432831594	0.396946742	0.396330178	0.421071509	0.39989606	0.443134172	0.412372841
k__Bacteria;p__Actinobacteria	0.032261363	0.025290751	0.019888035	0.044547919	0.023557718	0.034924905	0.032270837	0.043872292	0.039981074
k__Bacteria;p__Armatimonadetes	0.005649573	0.003830534	0.000958459	0.002664072	0.002670403	0.002936561	0.003241932	0.003712439	0.002507689
k__Bacteria;p__BHI80-139	2.56E-05	0	0	0	0	0	2.47E-05	6.55E-05	0
k__Bacteria;p__BRC1	0	0	0	0	0	0	4.95E-05	0	0
k__Bacteria;p__Bacteroidetes	0.004064625	0.003968987	0.000718845	0.002779901	0.002247369	0.00172607	0.003291427	0.003166492	0.004140052
k__Bacteria;p__Chlorobi	0.000409019	0.00046151	8.71E-05	0.001065629	7.93E-05	0.000201748	0.000222728	0.000174703	0.000283889
k__Bacteria;p__Chloroflexi	0.013523186	0.024367731	0.04500403	0.024949614	0.05991222	0.011477247	0.03133043	0.005634172	0.048403123
k__Bacteria;p__Cyanobacteria	0.008640524	0.003322872	0.001590171	0.007158246	0.00584316	0.00493163	0.009453574	0.00698812	0.005677786
k__Bacteria;p__Elusimicrobia	0.001354875	0.002169097	0.00047923	0.00150578	0.00219449	0.001479489	0.000791922	0.000393082	0.001892595
k__Bacteria;p__FBP	0	0	0	0	0	0	2.47E-05	0	2.37E-05
k__Bacteria;p__FCPU426	2.56E-05	0	0	4.63E-05	0.000317276	0.000179332	4.95E-05	0.000109189	4.73E-05
k__Bacteria;p__Fibrobacteres	0.000204509	0	0	0	0	0	0.000346466	0	2.37E-05
k__Bacteria;p__Firmicutes	0.001048111	0.000276906	0.000936676	0.000972965	0.000132198	0.001300157	0.000197981	0.000436758	0.000236574
k__Bacteria;p__GAL15	0.000460146	0.000415359	0.002875378	0.001158292	0.001586378	0.000425913	0.005147496	0.000829839	0.000898983
k__Bacteria;p__Gemmatimonadetes	0.001533821	0.003784382	0.001481256	0.001969097	0.001982973	0.001367406	0.001880816	0.001004542	0.002507689
k__Bacteria;p__Lentisphaerae	0	0	6.53E-05	0	0	0	0	0	0
k__Bacteria;p__NC10	0	0	0.000174265	6.95E-05	0	0	0	0	0
k__Bacteria;p__NKB19	0	0.000138453	0	0	0	0	0	0	0
k__Bacteria;p__Nitrospirae	0.001022547	0.001522983	0.005990372	0.005165983	0.003727989	0.001031159	0.001014651	6.55E-05	0.000402176
k__Bacteria;p__OD1	7.67E-05	0	0	9.27E-05	7.93E-05	0	4.95E-05	4.37E-05	0.00018926
k__Bacteria;p__OP3	0.000178946	4.62E-05	4.36E-05	0.000115829	0.000105759	0.000179332	0.000272223	8.74E-05	4.73E-05
k__Bacteria;p__Planctomycetes	0.041208651	0.010845486	0.008626135	0.008478699	0.017344403	0.010266756	0.022619283	0.020374738	0.007877928
k__Bacteria;p__Proteobacteria	0.347947237	0.484677866	0.445640098	0.468552366	0.448945058	0.475969514	0.440704811	0.426668414	0.449656967
k__Bacteria;p__SAR406	2.56E-05	0	0	2.32E-05	0	0	0	0	0
k__Bacteria;p__SBR1093	0	0	0	6.95E-05	0.000185077	0	0	0	0
k__Bacteria;p__Spirochaetes	0.0002812	0.000276906	0.001089159	0.000579146	5.29E-05	6.72E-05	0.000148485	0	0.000141945
k__Bacteria;p__TM6	0.001073675	0.001061473	0.000435663	0.001042463	0.001507059	0.000425913	0.000569194	0.00041492	0.000709723
k__Bacteria;p__TM7	0.001763894	0.001569134	0.000304964	0.001158292	0.001269103	0.000694911	0.001707583	0.00113557	0.001750651
k__Bacteria;p__Tenericutes	0	0.000138453	0.000130699	4.63E-05	0	4.48E-05	2.47E-05	0.000174703	4.73E-05
k__Bacteria;p__Verrucomicrobia	0.007106703	0.002030644	0.002330799	0.003127389	0.005367247	0.00262273	0.010146506	0.007206499	0.002200142
k__Bacteria;p__WPS-2	0.01257733	0.007245708	0.020345481	0.017026896	0.014277405	0.018829859	0.025118788	0.028869672	0.009462976
k__Bacteria;p__WS3	0	0.000738416	6.53E-05	0.000301156	0	0	2.47E-05	0	0.00018926
k__Bacteria;p__WWE1	0	0	0.000108916	0	0	0	0	0	0
