	h1468	h1600	s800	s934	s1024	s1116	w1116	w1204	w1274
k__Bacteria;Other;Other;Other;Other;Other	0.008231505	0.006045782	0.007602326	0.007436236	0.010099942	0.00762161	0.009305088	0.00535028	0.007712326
k__Bacteria;p__AD3;Other;Other;Other;Other	2.56E-05	0.000415359	0	4.63E-05	0	0	0	0	4.73E-05
k__Bacteria;p__AD3;c__;o__;f__;g__	0	0.000323057	0	0	0	0	0	0	0
k__Bacteria;p__AD3;c__ABS-6;o__;f__;g__	0.000332328	0.003045966	0.000196049	0.000718141	0.000105759	8.97E-05	7.42E-05	4.37E-05	0.000402176
k__Bacteria;p__AD3;c__JG37-AG-4;o__;f__;g__	0.000127818	0.000415359	0	0.000185327	7.93E-05	0.000134499	0	4.37E-05	0.000165602
k__Bacteria;p__Acidobacteria;Other;Other;Other;Other	0.002505241	0.003322872	0.00261398	0.001598443	0.001718576	0.00224165	0.001905563	0.001987247	0.002200142
k__Bacteria;p__Acidobacteria;c__Acidobacteria-5;o__;f__;g__	0.000818038	0.003045966	0.001285207	0.002965228	0.001850775	0.001412239	0.000494951	0.000524109	0.002460374
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;Other;Other;Other	0.000255637	0.000323057	4.36E-05	0.000162161	2.64E-05	4.48E-05	2.47E-05	2.18E-05	0.00018926
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__;f__;g__	0	9.23E-05	6.53E-05	0	0	0.000112082	0	4.37E-05	9.46E-05
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__CCU21;f__;g__	7.67E-05	0.001615285	8.71E-05	0.000579146	0.000211517	0.000179332	7.42E-05	0	0.000354862
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15;f__;g__	0.001354875	0.00503046	0.001808003	0.002571409	0.001903654	0.001524322	0.001014651	0.000524109	0.002815235
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15;f__RB40;g__	0.000204509	0.000692265	6.53E-05	0.000231658	0.000343715	0.000560412	4.95E-05	6.55E-05	0.000141945
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;Other;Other	0.005266118	0.004292044	0.002897162	0.003729701	0.003304955	0.003429724	0.005444466	0.006616876	0.003453986
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__;g__	0.000102255	0	6.53E-05	9.27E-05	0.000105759	0.000268998	4.95E-05	0.000283892	0
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;Other	0.007285649	0.002999815	0.002744679	0.008965182	0.00222093	0.002443398	0.008339933	0.011464885	0.002223799
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__	0.089958587	0.031336533	0.012111443	0.049482243	0.021574745	0.022394082	0.107058008	0.159722222	0.018405489
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__Acidobacterium	0.000153382	0	2.18E-05	0.000162161	7.93E-05	4.48E-05	0.000197981	0.000109189	0
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__Edaphobacter	0.000511274	0.000230755	2.18E-05	0.000115829	5.29E-05	6.72E-05	0.000173233	0.000808001	4.73E-05
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__Terriglobus	0	0	0	2.32E-05	0	0	0.000173233	2.18E-05	7.10E-05
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Koribacteraceae;Other	0.008768342	0.004430497	0.020781144	0.015080965	0.009306753	0.010916835	0.007399525	0.008145528	0.008232789
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Koribacteraceae;g__	0.257119485	0.218478863	0.138758795	0.153010401	0.144307546	0.206030038	0.125	0.138190077	0.210125384
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Koribacteraceae;g__Candidatus Koribacter	0.02960274	0.023306258	0.102903697	0.039961081	0.033816297	0.043420758	0.020441497	0.029459294	0.040004731
k__Bacteria;p__Acidobacteria;c__BPC102;o__MVS-40;f__;g__	0	0	0.000174265	2.32E-05	0	0	0	0	0
k__Bacteria;p__Acidobacteria;c__DA052;Other;Other;Other	7.67E-05	0	0	4.63E-05	0	0	0	0	0
k__Bacteria;p__Acidobacteria;c__DA052;o__Ellin6513;f__;g__	0.08448796	0.09631715	0.118347964	0.095929761	0.151102533	0.102734813	0.104731736	0.064792977	0.102058197
k__Bacteria;p__Acidobacteria;c__EC1113;o__;f__;g__	0.000409019	0.000599963	0.000130699	0.00027799	0.000343715	0.000515579	9.90E-05	0.000327568	0.000425834
k__Bacteria;p__Acidobacteria;c__Holophagae;o__Holophagales;f__Holophagaceae;g__	2.56E-05	0	0.000217832	0	0	0	0.00081667	8.74E-05	0
k__Bacteria;p__Acidobacteria;c__Holophagae;o__Holophagales;f__Holophagaceae;g__Geothrix	0	0	0.000261398	0	0	0	0	0	0
k__Bacteria;p__Acidobacteria;c__PAUC37f;o__;f__;g__	0	9.23E-05	6.53E-05	0	0	0	0	0	0
k__Bacteria;p__Acidobacteria;c__Solibacteres;Other;Other;Other	0.000178946	0	0	0	0	0	0	0	0
k__Bacteria;p__Acidobacteria;c__Solibacteres;o__JH-WHS99;f__;g__	2.56E-05	0	0	2.32E-05	0.000132198	6.72E-05	2.47E-05	0	4.73E-05
k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;Other;Other	0.002147349	0.002353701	0.001611955	0.002177589	0.003331394	0.003048644	0.00173233	0.000545947	0.002247457
k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__;g__	0.006467611	0.003507476	0.004356634	0.004146686	0.005340807	0.005604125	0.00408335	0.00452044	0.004021765
k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__AKIW659;g__	0	0	6.53E-05	0	0	0	0	0	0
k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__Solibacteraceae;Other	0	9.23E-05	0	0	0	2.24E-05	2.47E-05	0	0
k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__Solibacteraceae;g__	0.000332328	4.62E-05	0.000108916	0.000162161	0.000370155	0.000560412	0.000395961	0.000371244	7.10E-05
k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__Solibacteraceae;g__Candidatus Solibacter	0.005010481	0.005815027	0.004204152	0.007853221	0.00512929	0.007016364	0.004330826	0.003887142	0.005583156
k__Bacteria;p__Acidobacteria;c__Sva0725;o__Sva0725;f__;g__	5.11E-05	0.00046151	0	0.000138995	0.000317276	4.48E-05	4.95E-05	0	0.00018926
k__Bacteria;p__Acidobacteria;c__TM1;o__;f__;g__	0.005547318	0.00276906	0.016206679	0.006602266	0.008963037	0.006254203	0.005568204	0.010613208	0.00674237
