	h1468.1	h1468.2	h1468.3	h1468.4	h1468.5	h1468.6	h1468.7	h1468.8	h1600.1	h1600.2	h1600.4	h1600.5	h1600.6	h1600.7	s1024.1	s1024.2	s1024.3	s1024.4	s1024.5	s1024.6	s1024.7	s1024.8	s1116.1	s1116.2	s1116.3	s1116.4	s1116.5	s1116.6	s1116.7	s1116.8	s800.1	s800.2	s800.3	s800.4	s800.5	s800.6	s800.7	s800.8	s934.1	s934.2	s934.3	s934.4	s934.5	s934.6	s934.7	s934.8	w1116.1	w1116.2	w1116.3	w1116.4	w1116.5	w1116.6	w1116.7	w1116.8	w1204.1	w1204.2	w1204.3	w1204.4	w1204.5	w1204.6	w1204.7	w1204.8	w1274.1	w1274.2	w1274.4	w1274.5	w1274.6	w1274.7	w1274.8
h1468.1	0	0.775454545	0.887727273	0.724545455	0.848181818	0.615	0.460909091	0.855	0.803181818	0.9	0.852727273	0.873636364	0.875454545	0.794545455	0.928181818	0.868181818	0.900909091	0.673181818	0.923181818	0.775909091	0.932727273	0.854545455	0.785454545	0.837272727	0.865454545	0.877272727	0.810909091	0.896818182	0.865909091	0.759090909	0.86	0.930909091	0.902272727	0.929090909	0.859090909	0.910454545	0.845909091	0.925454545	0.874090909	0.889090909	0.846363636	0.895909091	0.873181818	0.888636364	0.777727273	0.758636364	0.922272727	0.695	0.766363636	0.9	0.626363636	0.905454545	0.749545455	0.745	0.776363636	0.6	0.828181818	0.875909091	0.633636364	0.675454545	0.667727273	0.74	0.874090909	0.871818182	0.836818182	0.885454545	0.908636364	0.857727273	0.879090909
h1468.2	0.775454545	0	0.709090909	0.715454545	0.718181818	0.800909091	0.788181818	0.727727273	0.568181818	0.717272727	0.605	0.718636364	0.600909091	0.637272727	0.783181818	0.667272727	0.763636364	0.751818182	0.775	0.730909091	0.818181818	0.784545455	0.640909091	0.656363636	0.698636364	0.575909091	0.794090909	0.792272727	0.665	0.646363636	0.709090909	0.859090909	0.805	0.802272727	0.718636364	0.756363636	0.816818182	0.819090909	0.680454545	0.709545455	0.664090909	0.753636364	0.728636364	0.708636364	0.748636364	0.824545455	0.800454545	0.780454545	0.79	0.754090909	0.781818182	0.722272727	0.887727273	0.826363636	0.867727273	0.831363636	0.740454545	0.783636364	0.791363636	0.839545455	0.756818182	0.67	0.681818182	0.743181818	0.696818182	0.615454545	0.751818182	0.599090909	0.693636364
h1468.3	0.887727273	0.709090909	0	0.807272727	0.838181818	0.91	0.879090909	0.640454545	0.771818182	0.701818182	0.659090909	0.757727273	0.553181818	0.592272727	0.590909091	0.631818182	0.644545455	0.842272727	0.606818182	0.695454545	0.691363636	0.693181818	0.752272727	0.674545455	0.657272727	0.648636364	0.731818182	0.7	0.655909091	0.764545455	0.685	0.768636364	0.730454545	0.675	0.738636364	0.683636364	0.761818182	0.715454545	0.631363636	0.632727273	0.725909091	0.711363636	0.709090909	0.724090909	0.810454545	0.803636364	0.674545455	0.855454545	0.771818182	0.675	0.815909091	0.633181818	0.926363636	0.906818182	0.931818182	0.886818182	0.692272727	0.713636364	0.871363636	0.848636364	0.773636364	0.661363636	0.647727273	0.756818182	0.8	0.609090909	0.613636364	0.592272727	0.650454545
h1468.4	0.724545455	0.715454545	0.807272727	0	0.795454545	0.769090909	0.702727273	0.770454545	0.683181818	0.818181818	0.767727273	0.820909091	0.787272727	0.723636364	0.862272727	0.791363636	0.835	0.716818182	0.813181818	0.766363636	0.892727273	0.830909091	0.719090909	0.754545455	0.785909091	0.793181818	0.812727273	0.838636364	0.779545455	0.721818182	0.808181818	0.905909091	0.851818182	0.880909091	0.838181818	0.864090909	0.847272727	0.891818182	0.822727273	0.823636364	0.795454545	0.833181818	0.819090909	0.837272727	0.792727273	0.807727273	0.859545455	0.725	0.73	0.83	0.683181818	0.805909091	0.785454545	0.801818182	0.793636364	0.739090909	0.764545455	0.820909091	0.714545455	0.759545455	0.746363636	0.741818182	0.777727273	0.822727273	0.765454545	0.771363636	0.857272727	0.778636364	0.746818182
h1468.5	0.848181818	0.718181818	0.838181818	0.795454545	0	0.841818182	0.811363636	0.855909091	0.670909091	0.723636364	0.739545455	0.64	0.790454545	0.746818182	0.903636364	0.821363636	0.888636364	0.8	0.887727273	0.804545455	0.909545455	0.879545455	0.797727273	0.850454545	0.853181818	0.757727273	0.892272727	0.885909091	0.84	0.712727273	0.88	0.937272727	0.895454545	0.905454545	0.855454545	0.818181818	0.895	0.917272727	0.802727273	0.858181818	0.775909091	0.896818182	0.768636364	0.774545455	0.824545455	0.880454545	0.879545455	0.787727273	0.855	0.881818182	0.810454545	0.864090909	0.844545455	0.737727273	0.845	0.798181818	0.851818182	0.881363636	0.786818182	0.857272727	0.848181818	0.814090909	0.848181818	0.698636364	0.694545455	0.842727273	0.887272727	0.763181818	0.868636364
h1468.6	0.615	0.800909091	0.91	0.769090909	0.841818182	0	0.507727273	0.877272727	0.824545455	0.888181818	0.878636364	0.877727273	0.888181818	0.869545455	0.940909091	0.898181818	0.921818182	0.733636364	0.93	0.874545455	0.942727273	0.869545455	0.869090909	0.886363636	0.911363636	0.875909091	0.890454545	0.905	0.915909091	0.826363636	0.92	0.955909091	0.92	0.948181818	0.912272727	0.925	0.903636364	0.946818182	0.893636364	0.935	0.877272727	0.948636364	0.882727273	0.886818182	0.880909091	0.876818182	0.923181818	0.695909091	0.856818182	0.911363636	0.743636364	0.918636364	0.760909091	0.809090909	0.737727273	0.622272727	0.902727273	0.868636364	0.675	0.797727273	0.811818182	0.883636364	0.898636364	0.875909091	0.842272727	0.904090909	0.933181818	0.871818182	0.899090909
h1468.7	0.460909091	0.788181818	0.879090909	0.702727273	0.811363636	0.507727273	0	0.842727273	0.789545455	0.883181818	0.841363636	0.846363636	0.877727273	0.786363636	0.929090909	0.871363636	0.892272727	0.670909091	0.921363636	0.787727273	0.935454545	0.838181818	0.796363636	0.853181818	0.870454545	0.873636364	0.815	0.884545455	0.867272727	0.743181818	0.883181818	0.930454545	0.898636364	0.934545455	0.865909091	0.912727273	0.840909091	0.930454545	0.871363636	0.892272727	0.838636364	0.917272727	0.860454545	0.868636364	0.797272727	0.786363636	0.92	0.653636364	0.770909091	0.895454545	0.640909091	0.903181818	0.705	0.722727273	0.717272727	0.556363636	0.827272727	0.866818182	0.606363636	0.713181818	0.685	0.784545455	0.884090909	0.852272727	0.815909091	0.888181818	0.910454545	0.845454545	0.883181818
h1468.8	0.855	0.727727273	0.640454545	0.770454545	0.855909091	0.877272727	0.842727273	0	0.788181818	0.833181818	0.729090909	0.850909091	0.624545455	0.569090909	0.581818182	0.615	0.53	0.817272727	0.555909091	0.639545455	0.605	0.549090909	0.740454545	0.620454545	0.586363636	0.731363636	0.623636364	0.530454545	0.654545455	0.770909091	0.591818182	0.694090909	0.526363636	0.609090909	0.712272727	0.717727273	0.575454545	0.556818182	0.668181818	0.634545455	0.75	0.665909091	0.746363636	0.770454545	0.793181818	0.787272727	0.698181818	0.84	0.735454545	0.501363636	0.77	0.545909091	0.922272727	0.903636364	0.925454545	0.877727273	0.507727273	0.530454545	0.850454545	0.834545455	0.685	0.644090909	0.482727273	0.845909091	0.810909091	0.505	0.513636364	0.651363636	0.675
h1600.1	0.803181818	0.568181818	0.771818182	0.683181818	0.670909091	0.824545455	0.789545455	0.788181818	0	0.728636364	0.662727273	0.72	0.704090909	0.692272727	0.812727273	0.736818182	0.794090909	0.731818182	0.815909091	0.745454545	0.813636364	0.790454545	0.685	0.700454545	0.772272727	0.65	0.783636364	0.785454545	0.765909091	0.678636364	0.752727273	0.873181818	0.804545455	0.827272727	0.790909091	0.807272727	0.810909091	0.825	0.745909091	0.802727273	0.718181818	0.825454545	0.760909091	0.734090909	0.696363636	0.779545455	0.828636364	0.766363636	0.756363636	0.805454545	0.757272727	0.717727273	0.844545455	0.803636364	0.87	0.794090909	0.750454545	0.778636364	0.766363636	0.807272727	0.736818182	0.700909091	0.737272727	0.715909091	0.559090909	0.679090909	0.814090909	0.65	0.747272727
h1600.2	0.9	0.717272727	0.701818182	0.818181818	0.723636364	0.888181818	0.883181818	0.833181818	0.728636364	0	0.688181818	0.555454545	0.724545455	0.744545455	0.84	0.79	0.849545455	0.839545455	0.818636364	0.823636364	0.884090909	0.854090909	0.794545455	0.808181818	0.813636364	0.657272727	0.888636364	0.869090909	0.78	0.763636364	0.842727273	0.912727273	0.892272727	0.864090909	0.843181818	0.746818182	0.895454545	0.895909091	0.743181818	0.798636364	0.761363636	0.822727273	0.707727273	0.691818182	0.841363636	0.894545455	0.837272727	0.860909091	0.884090909	0.840909091	0.858636364	0.826818182	0.925	0.883636364	0.926818182	0.881818182	0.862727273	0.861363636	0.873181818	0.9	0.853181818	0.82	0.830909091	0.631818182	0.751363636	0.810909091	0.850454545	0.673636364	0.802272727
