	sequences per sample	iteration	s934.8	w1116.2	s934.7	s1116.1 	s934.3	s1116.8	w1274.8	w1274.4	h1600.5	w1204.1	w1274.1	w1204.6	h1468.1	w1204.7	w1116.8	w1116.5	w1274.5	h1468.6	h1468.7	w1204.2	h1468.4	s800.6	s934.1	s934.5	s934.6	s1116.4	w1274.2	w1274.7	w1204.8	s1116.2	s1024.6	s1024.4	w1116.7	w1204.5	h1600.6	h1468.5	w1116.3	h1468.2	s800.3	s800.5	s1116.7	s934.2	s1024.2	w1116.1	s1024.8	s1116.3	s1116.5	s1024.5	s800.1	s800.8	s800.4	s934.4	s800.7	s800.2	s1024.1	h1600.7	h1600.1	h1600.2	w1204.3	h1600.4	h1468.3	w1274.6	w1116.6	h1468.8	w1116.4	s1116.6	s1024.7	w1204.4	s1024.3
alpha_rarefaction_10_0.biom	10	0	23	55	55	55	55	55	23	23	23	29	55	23	23	55	55	23	12	23	23	55	23	23	55	23	55	23	55	23	23	29	55	23	23	55	55	55	23	55	22	23	55	23	55	55	13	23	55	55	55	23	55	55	55	55	13	55	23	13	23	55	29	7	8.5	23	13	55	13	13	55
alpha_rarefaction_10_1.biom	10	1	23	55	55	55	55	55	29	55	55	13	29	23	23	55	55	23	23	29	29	13	23	23	23	55	55	55	55	29	23	55	16	55	23	55	23	55	55	55	23	55	23	55	23	55	55	23	55	55	55	55	23	55	55	23	55	23	23	55	55	23	55	23	55	55	13	23	55	23	23
alpha_rarefaction_10_2.biom	10	2	13	55	55	55	55	55	23	23	55	13	55	55	23	23	55	23	29	55	23	55	23	55	55	55	55	55	55	23	55	23	23	55	55	55	55	55	13	23	12	55	23	23	55	55	55	23	23	23	16	55	55	23	13	23	23	29	55	55	23	55	29	23	23	23	23	13	12	55	12
alpha_rarefaction_10_3.biom	10	3	55	55	23	55	55	23	23	55	55	23	29	13	55	55	55	55	23	55	23	55	55	23	55	55	13	55	13	23	23	23	55	55	55	23	55	55	23	55	55	55	13	29	55	13	55	13	23	23	23	23	55	23	55	23	29	12	23	23	55	23	23	23	23	23	12	9	55	22	12
alpha_rarefaction_10_4.biom	10	4	55	55	23	55	23	55	13	55	55	13	12	55	23	13	55	55	23	13	55	29	23	55	23	55	55	23	23	23	13	23	55	55	55	55	23	23	29	55	13	29	55	23	23	55	23	29	55	12	55	23	55	55	29	55	23	55	55	23	13	55	23	23	13	23	55	29	23	22	55
alpha_rarefaction_10_5.biom	10	5	55	23	55	55	23	55	55	55	55	23	23	55	23	23	55	55	16	55	23	55	23	29	55	55	55	55	23	55	55	55	12	55	23	55	55	55	23	23	23	55	55	23	29	55	13	23	23	55	29	22	55	23	55	55	13	55	23	55	23	23	23	23	55	23	29	12	12	23	29
alpha_rarefaction_10_6.biom	10	6	22	55	55	55	23	55	7	55	55	23	55	55	55	23	55	55	13	55	23	55	55	55	55	23	55	23	55	55	23	23	13	55	23	55	23	55	23	55	55	55	13	55	23	55	23	23	55	55	55	23	55	23	55	13	55	23	55	55	55	55	23	23	55	29	55	23	23	29	23
alpha_rarefaction_10_7.biom	10	7	55	55	55	55	55	55	55	23	55	13	23	23	23	55	55	55	55	23	23	55	55	29	23	55	23	55	23	23	55	55	23	55	23	23	9	55	23	29	55	55	55	23	55	13	55	55	23	55	55	55	13	23	23	55	29	29	13	55	55	55	13	23	12	55	23	7	23	55	23
alpha_rarefaction_10_8.biom	10	8	23	23	55	23	55	55	55	23	55	55	23	55	55	55	55	55	55	23	55	55	29	23	55	23	55	55	13	55	13	13	23	55	23	55	55	55	55	23	8.5	12	8.5	55	13	23	55	29	12	29	55	55	55	55	55	23	55	55	23	23	55	55	55	23	23	29	13	55	23	29	13
alpha_rarefaction_10_9.biom	10	9	55	55	55	55	55	23	8.5	13	55	55	29	13	23	55	55	55	22	23	23	23	23	29	29	55	23	55	23	23	23	55	23	23	23	23	29	23	13	55	29	23	23	23	55	55	55	23	22	29	13	55	55	55	23	55	55	55	55	23	55	55	55	23	13	55	23	55	55	55	22
alpha_rarefaction_229_0.biom	229	0	281.047619	648.6470588	328.4736842	350	251.037037	437.5555556	377.5	416.4615385	689.4	348.4	201.1052632	406.0625	466	364	430.0434783	497.15	209.1052632	330.0833333	342.9	316.037037	456.0769231	302.0285714	532.15	604	564.875	592.6666667	529.4545455	665	347.4285714	298.5	642.0666667	526.0769231	408	443.3333333	301.1052632	532.15	287	564.25	215	371.2352941	280.875	337.0416667	453.8	379.2	482.8125	484.5714286	332.6666667	405.5	278.8333333	349.8333333	264	495.7142857	365.4615385	227	284.1666667	391.2173913	319.2727273	505.4761905	275.1578947	400.2352941	430.8947368	216.1538462	225	372.3125	396.2727273	261.7142857	233.3333333	194.0555556	363.8333333
alpha_rarefaction_229_1.biom	229	1	279.4375	506.05	241.037037	349.5	402.65	518.6875	436.6666667	455.0769231	686.9285714	527.125	293.6875	329	392.75	324.25	537.1052632	453.1818182	220.1666667	388	488.25	424.1666667	298.2352941	547.6666667	494.9565217	609.8076923	365.25	326.9642857	514.3913043	588.7692308	325.4736842	298	450.1304348	434.3703704	341.9	505.1176471	356.5	1172.363636	268.2727273	360.0526316	274.1111111	275.6666667	372.75	300.44	394.2173913	451.2727273	410.5882353	235.04	383.2142857	324.6875	398.1875	316.4	473	557.4	353.5555556	204.0555556	307.3529412	376.0555556	249	472	329.6875	303.2608696	359.1153846	219	300.1538462	304.5882353	221	289	216	192	333.4
