,MAT,site,pH,TBCF
h1468.1,13.8,h1468,4.2,1073.8056
h1468.2,13.8,h1468,4.2,1073.8056
h1468.3,13.8,h1468,4.2,1073.8056
h1468.4,13.8,h1468,4.2,1073.8056
h1468.5,13.8,h1468,4.2,1073.8056
h1468.6,13.8,h1468,4.2,1073.8056
h1468.7,13.8,h1468,4.2,1073.8056
h1468.8,13.8,h1468,4.2,1073.8056
h1600.1,13,h1600,4.1,1184.332
h1600.2,13,h1600,4.1,1184.332
h1600.4,13,h1600,4.1,1184.332
h1600.5,13,h1600,4.2,1184.332
h1600.6,13,h1600,4.1,1184.332
h1600.7,13,h1600,4.1,1184.332
s1024.1,16.7,s1024,3.7,1445.6085
s1024.2,16.7,s1024,3.7,1445.6085
s1024.3,16.7,s1024,3.7,1445.6085
s1024.4,16.7,s1024,3.7,1445.6085
s1024.5,16.7,s1024,3.7,1445.6085
s1024.6,16.7,s1024,3.7,1445.6085
s1024.7,16.7,s1024,3.7,1445.6085
s1024.8,16.7,s1024,3.7,1445.6085
s1116.1,16.1,s1116,3.8,1552.7282
s1116.2,16.1,s1116,3.8,1552.7282
s1116.3,16.1,s1116,3.8,1552.7282
s1116.4,16.1,s1116,3.8,1552.7282
s1116.5,16.1,s1116,3.8,1552.7282
s1116.6,16.1,s1116,3.8,1552.7282
s1116.7,16.1,s1116,3.8,1552.7282
s1116.8,16.1,s1116,3.8,1552.7282
s800.1,18.2,s800,4.1,1533.2948
s800.2,18.2,s800,4.1,1533.2948
s800.3,18.2,s800,4.1,1533.2948
s800.4,18.2,s800,4.1,1533.2948
s800.5,18.2,s800,4.1,1533.2948
s800.6,18.2,s800,4.1,1533.2948
s800.7,18.2,s800,4.1,1533.2948
s800.8,18.2,s800,4.1,1533.2948
s934.1,17.3,s934,4.2,1825.1897
s934.2,17.3,s934,4.2,1825.1897
s934.3,17.3,s934,4.2,1825.1897
s934.4,17.3,s934,4.2,1825.1897
s934.5,17.3,s934,4.2,1825.1897
s934.6,17.3,s934,4.2,1825.1897
s934.7,17.3,s934,4.2,1825.1897
s934.8,17.3,s934,4.2,1825.1897
w1116.1,16.1,w1116,3.6,1377.1202
w1116.2,16.1,w1116,3.6,1377.1202
w1116.3,16.1,w1116,3.6,1377.1202
w1116.4,16.1,w1116,3.6,1377.1202
w1116.5,16.1,w1116,3.6,1377.1202
w1116.6,16.1,w1116,3.6,1377.1202
w1116.7,16.1,w1116,3.6,1377.1202
w1116.8,16.1,w1116,3.6,1377.1202
w1204.1,15.5,w1204,3.7,1355.7649
w1204.2,15.5,w1204,3.7,1355.7649
w1204.3,15.5,w1204,3.7,1355.7649
w1204.4,15.5,w1204,3.7,1355.7649
w1204.5,15.5,w1204,3.7,1355.7649
w1204.6,15.5,w1204,3.7,1355.7649
w1204.7,15.5,w1204,3.7,1355.7649
w1204.8,15.5,w1204,3.7,1355.7649
w1274.1,15.1,w1274,3.9,1383.4417
w1274.2,15.1,w1274,3.9,1383.4417
w1274.4,15.1,w1274,3.9,1383.4417
w1274.5,15.1,w1274,3.9,1383.4417
w1274.6,15.1,w1274,3.9,1383.4417
w1274.7,15.1,w1274,3.9,1383.4417
w1274.8,15.1,w1274,3.9,1383.4417
