	s934.8	w1116.2	s934.7	s1116.1	s934.3	s1116.8	w1274.8	w1274.4	h1600.5	w1204.1	w1274.1	w1204.6	h1468.1	w1204.7	w1116.8	w1116.5	w1274.5	h1468.6	h1468.7	w1204.2	h1468.4	s800.6	s934.1	s934.5	s934.6	s1116.4	w1274.2	w1274.7	w1204.8	s1116.2	s1024.6	s1024.4	w1116.7	w1204.5	h1600.6	h1468.5	w1116.3	h1468.2	s800.3	s800.5	s1116.7	s934.2	s1024.2	w1116.1	s1024.8	s1116.3	s1116.5	s1024.5	s800.1	s800.8	s800.4	s934.4	s800.7	s800.2	s1024.1	h1600.7	h1600.1	h1600.2	w1204.3	h1600.4	h1468.3	w1274.6	w1116.6	h1468.8	w1116.4	s1116.6	s1024.7	w1204.4	s1024.3
s934.8	0	0.669191681	0.614230322	0.667460732	0.687751323	0.679410849	0.748083459	0.691278162	0.757325231	0.708298397	0.713241632	0.642686674	0.677663337	0.635038756	0.736232428	0.671398901	0.719181186	0.714652512	0.679548831	0.692203185	0.703723994	0.765129206	0.747004128	0.759244195	0.690589496	0.742539681	0.770407597	0.72103767	0.695716438	0.675957748	0.673166171	0.699075218	0.718464857	0.701858742	0.708360705	0.769090415	0.562237037	0.72875956	0.675321988	0.683370417	0.72201609	0.732510233	0.720645845	0.764557612	0.67197872	0.720626088	0.637788263	0.753749098	0.698317898	0.714121773	0.724782147	0.780952947	0.652629703	0.747687516	0.762286926	0.698169881	0.718378082	0.786272004	0.701268644	0.729509564	0.766932611	0.745649853	0.719539536	0.747896737	0.725952875	0.702959574	0.740972552	0.721385385	0.73757799
w1116.2	0.669191681	0	0.672549986	0.707406785	0.728405721	0.688200541	0.759533087	0.715021209	0.734070276	0.648027342	0.753103777	0.638798135	0.64668512	0.660343436	0.657954041	0.618268053	0.751696017	0.662088598	0.641828669	0.617545037	0.689558809	0.777819011	0.748298017	0.753994182	0.714170222	0.734132382	0.75580273	0.732012125	0.726258625	0.730700804	0.667734123	0.618691389	0.680410617	0.621093929	0.738267823	0.723742683	0.668705783	0.733462538	0.754524607	0.731808418	0.750510427	0.752777193	0.724138689	0.818233673	0.721100788	0.738375166	0.704912281	0.785197488	0.744833953	0.776142069	0.784428053	0.805803745	0.71194342	0.794181944	0.808965691	0.721943396	0.732731299	0.785163929	0.746319685	0.747456163	0.782144779	0.774680139	0.777724277	0.785791946	0.764198247	0.750543331	0.783846883	0.739116783	0.790574517
s934.7	0.614230322	0.672549986	0	0.630540022	0.657267617	0.657806838	0.720609661	0.676425505	0.721815191	0.706374178	0.701954965	0.678616205	0.657671132	0.64222791	0.710950504	0.686117909	0.701548359	0.732689671	0.711251305	0.699226167	0.665230305	0.727399187	0.717393548	0.726692575	0.665450779	0.715381011	0.730331908	0.680812012	0.672671249	0.660623001	0.645649594	0.696134433	0.710099127	0.707328116	0.682650365	0.735048712	0.634835852	0.692878471	0.644215557	0.663791218	0.68537924	0.702364471	0.687965105	0.768640714	0.680261733	0.688691585	0.664302049	0.7296674	0.686219275	0.720661185	0.723318538	0.777109378	0.673107522	0.755297879	0.758315952	0.68094534	0.687186206	0.760813435	0.684217692	0.713358326	0.74544436	0.734683084	0.712262432	0.743366059	0.707054369	0.693653191	0.725513337	0.698318386	0.736277328
s11116.1	0.667460732	0.707406785	0.630540022	0	0.669067928	0.629436509	0.681043812	0.674003904	0.727543943	0.738733531	0.633535672	0.703033072	0.68831329	0.608573679	0.729193783	0.671763609	0.648926983	0.738909506	0.702649631	0.717232703	0.6560678	0.704854354	0.687697481	0.704255603	0.681921387	0.662375297	0.733567743	0.676835179	0.627521162	0.633727524	0.612949902	0.656151937	0.73387617	0.703273332	0.672452623	0.721457642	0.647700782	0.653104339	0.667515477	0.650504327	0.607230926	0.629246852	0.639752326	0.739802634	0.621728248	0.643975191	0.650471165	0.678535427	0.660937271	0.697582198	0.702744729	0.709960833	0.650185599	0.741923716	0.718680715	0.627596679	0.679209747	0.745355129	0.672951736	0.672974769	0.714410439	0.688597084	0.697528464	0.698885925	0.656686087	0.669801508	0.70833685	0.678520799	0.700163303
s934.3	0.687751323	0.728405721	0.657267617	0.669067928	0	0.630042069	0.702909869	0.661067599	0.702285674	0.769196652	0.685359007	0.727956806	0.713460243	0.670368139	0.750810796	0.688475468	0.683630242	0.762670779	0.731902773	0.739510077	0.710003065	0.698224372	0.669762638	0.66883427	0.60735189	0.627153148	0.710563795	0.655977689	0.683183761	0.628318923	0.6238122	0.710119211	0.736177737	0.716195694	0.681314749	0.717616274	0.672808575	0.684254148	0.690000638	0.605608494	0.640183762	0.637315812	0.633694582	0.724364664	0.676658065	0.647162312	0.681648456	0.700189138	0.666572808	0.704316268	0.692368285	0.707418136	0.663267436	0.728280071	0.716493311	0.635569632	0.662533103	0.728764926	0.710127997	0.677585443	0.69516746	0.694246046	0.702129081	0.726877896	0.674663909	0.674601675	0.711433175	0.696410804	0.708001595
s1116.8	0.679410849	0.688200541	0.657806838	0.629436509	0.630042069	0	0.709706967	0.656374381	0.701238629	0.732469176	0.68135491	0.703609543	0.688299204	0.663223022	0.72396633	0.672986354	0.696448342	0.727622794	0.691118493	0.697426171	0.693441005	0.7474474	0.713050125	0.700756915	0.669924825	0.686060134	0.722600076	0.679208855	0.681425328	0.663572753	0.643175598	0.668452634	0.714844962	0.699362152	0.696779426	0.692745508	0.663251552	0.665729686	0.709410866	0.632827626	0.657051112	0.687134421	0.645288441	0.744328163	0.67263772	0.679353277	0.682121987	0.709222911	0.690578228	0.727051427	0.704566189	0.753073485	0.692491694	0.738838052	0.747725301	0.663433597	0.684613024	0.74437045	0.715549584	0.679913345	0.698648083	0.720027245	0.727055191	0.738749966	0.702040447	0.69153509	0.72451224	0.713276348	0.72116682
w1274.8	0.748083459	0.759533087	0.720609661	0.681043812	0.702909869	0.709706967	0	0.719860911	0.698625537	0.782808097	0.646322594	0.750929016	0.743111144	0.697186862	0.772742134	0.740315636	0.629879269	0.763745108	0.738865408	0.767407659	0.704413116	0.711326302	0.685653393	0.697099936	0.693443609	0.666439619	0.739240634	0.663147303	0.666568915	0.657547317	0.672508531	0.730577179	0.766491256	0.770021178	0.643443187	0.73894901	0.701801991	0.669491926	0.664808216	0.693410437	0.678783378	0.678206519	0.665373297	0.667279914	0.65380376	0.672712516	0.693915118	0.656467752	0.68427051	0.70461626	0.663809398	0.690404961	0.677679586	0.678059161	0.660811075	0.651239095	0.69622473	0.71581651	0.697261266	0.685124214	0.642223271	0.591238573	0.688382908	0.659100607	0.649335359	0.664005171	0.627757587	0.6317341	0.65135589
w1274.4	0.691278162	0.715021209	0.676425505	0.674003904	0.661067599	0.656374381	0.719860911	0	0.700949974	0.735763935	0.702364955	0.714357126	0.726017557	0.685928669	0.724796833	0.714760623	0.725587463	0.738578787	0.72743308	0.711317016	0.705356855	0.748065438	0.740175524	0.729921233	0.674895296	0.70610405	0.723270969	0.681038822	0.674078282	0.680391012	0.674746323	0.723400218	0.717342869	0.713296479	0.699474362	0.698020475	0.698748196	0.676322982	0.723906941	0.680536471	0.720691935	0.719178684	0.687646154	0.768757878	0.705552443	0.723389096	0.717933503	0.750890358	0.729618997	0.750117909	0.746585874	0.770291005	0.717907239	0.772454883	0.764469453	0.682048713	0.685181185	0.744571454	0.722716055	0.690764088	0.750674734	0.742378475	0.736267967	0.742743301	0.722199079	0.723897642	0.747392666	0.723242463	0.732535126
h1600.5	0.757325231	0.734070276	0.721815191	0.727543943	0.702285674	0.701238629	0.698625537	0.700949974	0	0.758294059	0.73629189	0.754397773	0.740982475	0.728275154	0.701228442	0.748312568	0.73903544	0.765496696	0.747389273	0.764546279	0.740596626	0.674043399	0.649971624	0.627294223	0.673214171	0.667445044	0.602801243	0.628517572	0.734838913	0.713225414	0.681322693	0.70872021	0.759447319	0.748288667	0.689950271	0.639487926	0.758310417	0.703583758	0.746327899	0.705734986	0.725657043	0.703462422	0.68549111	0.757957787	0.731104737	0.723781433	0.74020125	0.737543931	0.750210698	0.790460061	0.750168338	0.737522385	0.748555306	0.784519081	0.768242329	0.684097581	0.71819693	0.617725105	0.763822647	0.65588992	0.703350243	0.724540085	0.773407994	0.752666966	0.74144727	0.735607687	0.755479984	0.749309499	0.740207251
w1204.1	0.708298397	0.648027342	0.706374178	0.738733531	0.769196652	0.732469176	0.782808097	0.735763935	0.758294059	0	0.772327176	0.653011747	0.669353037	0.702510659	0.694143357	0.684947572	0.760867187	0.632039032	0.665538622	0.629385292	0.698537693	0.799666083	0.788567995	0.790635532	0.751355968	0.775946149	0.788721957	0.764909614	0.739872955	0.757030344	0.754089216	0.710606034	0.642013063	0.637906566	0.757461278	0.754957993	0.718484464	0.757992164	0.777362253	0.749611665	0.760960923	0.786689494	0.772265034	0.841656097	0.750116444	0.780077286	0.737548117	0.81424643	0.794877441	0.81277411	0.810729632	0.836554673	0.757059736	0.810484353	0.829698052	0.744976319	0.737419268	0.810952399	0.767224728	0.770821116	0.795399931	0.805257741	0.799410766	0.791055257	0.797125142	0.782647021	0.809510742	0.756230901	0.815966363
