	h1468.1	h1468.2	h1468.3	h1468.4	h1468.5	h1468.6	h1468.7	h1468.8	h1600.1	h1600.2	h1600.4	h1600.5	h1600.6	h1600.7	s1024.1	s1024.2	s1024.3	s1024.4	s1024.5	s1024.6	s1024.7	s1024.8	s1116.1 	s1116.2	s1116.3	s1116.4	s1116.5	s1116.6	s1116.7	s1116.8	s800.1	s800.2	s800.3	s800.4	s800.5	s800.6	s800.7	s800.8	s934.1	s934.2	s934.3	s934.4	s934.5	s934.6	s934.7	s934.8	w1116.1	w1116.2	w1116.3	w1116.4	w1116.5	w1116.6	w1116.7	w1116.8	w1204.1	w1204.2	w1204.3	w1204.4	w1204.5	w1204.6	w1204.7	w1204.8	w1274.1	w1274.2	w1274.4	w1274.5	w1274.6	w1274.7	w1274.8
h1468.1	0	0.291100195	0.4310103	0.257270855	0.413800723	0.221947677	0.147705868	0.337021268	0.349078423	0.393308341	0.370894091	0.416969445	0.362468895	0.344509418	0.541773982	0.422963782	0.395399259	0.312076009	0.445239609	0.345390823	0.486235632	0.37111325	0.363061441	0.347956236	0.377312295	0.301793645	0.371727759	0.414437232	0.465768582	0.320195886	0.404373664	0.541614545	0.365214264	0.460595741	0.36249255	0.422146655	0.33353525	0.3812086	0.417392341	0.45046845	0.339349077	0.405410073	0.435133005	0.381271995	0.324963927	0.36216585	0.556719464	0.236698982	0.3121959	0.425649045	0.2374069	0.377079532	0.251955936	0.326927914	0.347942145	0.233652118	0.340282655	0.383434627	0.212993932	0.369395177	0.333647709	0.324718791	0.364033677	0.426089859	0.429302091	0.331544909	0.471550609	0.376031873	0.357886532
h1468.2	0.291100195	0	0.302889777	0.26334885	0.398079255	0.3691657	0.283531382	0.282687464	0.261375673	0.291477518	0.247352705	0.362359859	0.199886891	0.24667015	0.425928659	0.28223505	0.345614009	0.402859205	0.329909341	0.307838118	0.399770618	0.369496473	0.261305845	0.26998545	0.258130445	0.184408359	0.365473018	0.379440518	0.320480668	0.225109191	0.264790686	0.545378568	0.341362895	0.354215191	0.228713473	0.352028559	0.3438848	0.276824023	0.302198873	0.318650909	0.222728582	0.309492914	0.365027527	0.280027191	0.329053732	0.403633227	0.47841755	0.350649086	0.333804014	0.330695395	0.349466405	0.271890864	0.324543868	0.404663582	0.392771123	0.355329832	0.302662241	0.377383923	0.325907018	0.444695791	0.386345677	0.224603477	0.279670355	0.396782582	0.381044705	0.177776305	0.370215786	0.295698668	0.3094374
h1468.3	0.4310103	0.302889777	0	0.322694373	0.331504005	0.474359123	0.434638986	0.238891432	0.291601386	0.216386023	0.229513182	0.297143273	0.208170841	0.191022564	0.226739082	0.170755736	0.252056886	0.340547845	0.161926255	0.249280505	0.255135668	0.27933505	0.21780605	0.269962345	0.198335995	0.286219155	0.323660941	0.328392514	0.210873664	0.24005885	0.206801891	0.417006936	0.312258018	0.184874423	0.268959168	0.267101082	0.287611277	0.249264173	0.195146023	0.17659445	0.263539859	0.254041591	0.268976268	0.272134841	0.385104755	0.395906677	0.282044373	0.448402582	0.349927291	0.213281018	0.333407491	0.228868877	0.365850773	0.38861895	0.563472	0.425662582	0.251306918	0.294542655	0.405110132	0.397098077	0.305919691	0.234752636	0.240345332	0.326026141	0.366620073	0.256053345	0.203776409	0.244228018	0.349368832
h1468.4	0.257270855	0.26334885	0.322694373	0	0.308466995	0.275431823	0.222236023	0.249590795	0.221320223	0.293354305	0.263023382	0.290846355	0.269280768	0.240928818	0.449484864	0.312192818	0.28093785	0.311221018	0.345780382	0.262562359	0.395674668	0.264768305	0.268197214	0.232567464	0.28186345	0.223471291	0.284723405	0.318125995	0.368365327	0.245639605	0.3091449	0.435337355	0.276919527	0.370900168	0.301082941	0.316555073	0.258889377	0.304581409	0.308487177	0.347306314	0.238857268	0.311927327	0.339556495	0.265069023	0.232855318	0.301430059	0.4745781	0.271100336	0.231595809	0.329128964	0.234289936	0.292451968	0.228341055	0.284816905	0.373603291	0.252452791	0.266010818	0.276277591	0.226249232	0.309354259	0.254234209	0.249739664	0.274386968	0.325509532	0.314335645	0.243576464	0.3804752	0.257652218	0.291836068
h1468.5	0.413800723	0.398079255	0.331504005	0.308466995	0	0.4123302	0.390779218	0.330417609	0.249520182	0.246901664	0.283404877	0.183406368	0.357726809	0.28177445	0.430205386	0.314667068	0.284173845	0.285320468	0.345303359	0.259102236	0.383856455	0.292974882	0.368722764	0.308721695	0.334798045	0.330428368	0.334671191	0.324851655	0.396418495	0.319629182	0.350813759	0.439940459	0.325511677	0.400371036	0.4240945	0.277778059	0.331393236	0.432475277	0.257787573	0.360363018	0.308074809	0.424035514	0.249677564	0.268388436	0.341361095	0.369447891	0.447208295	0.355000105	0.321508868	0.339273705	0.28921915	0.332540627	0.35161695	0.251616955	0.500385005	0.331816977	0.321299114	0.310209959	0.336090909	0.332007136	0.275171305	0.377031059	0.311685755	0.189747682	0.262204123	0.390390805	0.389639659	0.238617823	0.437110855
h1468.6	0.221947677	0.3691657	0.474359123	0.275431823	0.4123302	0	0.192446873	0.3979887	0.369469564	0.433707918	0.414159868	0.424231995	0.415363209	0.407796032	0.598399286	0.467959405	0.426344164	0.309061441	0.499030823	0.398567636	0.529197955	0.412716573	0.426253273	0.390480032	0.431393618	0.342884614	0.4074768	0.449858327	0.525278232	0.381979145	0.461326195	0.575801159	0.405199668	0.516798327	0.421477609	0.463247014	0.4021073	0.451421286	0.4652701	0.506737809	0.385519518	0.468880214	0.485167455	0.403465564	0.360962005	0.415712918	0.603879941	0.226358259	0.347799405	0.473952205	0.285768295	0.449192673	0.304374705	0.345518645	0.369757868	0.241107023	0.415385259	0.404423886	0.219538464	0.395588155	0.377899059	0.395894414	0.412857291	0.4456915	0.424586632	0.39404125	0.528057295	0.396543823	0.386564509
h1468.7	0.147705868	0.283531382	0.434638986	0.222236023	0.390779218	0.192446873	0	0.336501327	0.318795945	0.399537627	0.371779295	0.393410086	0.363834564	0.346566614	0.551502532	0.424700732	0.372299736	0.339340541	0.450207623	0.346452091	0.491669445	0.356568455	0.3738221	0.328830977	0.384710345	0.286411314	0.350172109	0.389502018	0.476914768	0.317561891	0.406853841	0.532032695	0.342439395	0.4680592	0.3677879	0.419009677	0.338001182	0.385892632	0.422332118	0.461222082	0.332079109	0.421973441	0.443193064	0.346426909	0.299840923	0.333909745	0.566922514	0.232988177	0.281654623	0.429894877	0.255003605	0.377712573	0.230142905	0.309315982	0.298429023	0.201254314	0.352583441	0.353717268	0.208219055	0.349216327	0.315725368	0.328258205	0.3681404	0.404072	0.382117405	0.326084559	0.47887635	0.345703595	0.345916209
h1468.8	0.337021268	0.282687464	0.238891432	0.249590795	0.330417609	0.3979887	0.336501327	0	0.231501736	0.226713055	0.199386605	0.305709595	0.216518291	0.161261859	0.327227859	0.214330723	0.187262945	0.322404905	0.224021514	0.187568182	0.268323982	0.181182918	0.259207009	0.159690177	0.164713973	0.241046332	0.218366818	0.219067727	0.276980977	0.261099527	0.17598535	0.357720495	0.174415341	0.219869609	0.273658664	0.254954959	0.148566882	0.196191159	0.221156936	0.237045927	0.207528591	0.262186595	0.295027382	0.223837245	0.302885968	0.283137509	0.365946895	0.380573968	0.247565286	0.186317295	0.242326759	0.1484203	0.302366623	0.349458818	0.465327023	0.364055159	0.135013623	0.184364868	0.340168264	0.3374607	0.228536086	0.21850615	0.127190536	0.343541827	0.32650475	0.187726295	0.244146077	0.226045541	0.287575627
h1600.1	0.349078423	0.261375673	0.291601386	0.221320223	0.249520182	0.369469564	0.318795945	0.231501736	0	0.223344573	0.206511386	0.226047168	0.239395	0.222671168	0.410066077	0.271115523	0.250460136	0.299229195	0.315209177	0.242413918	0.359622582	0.269691755	0.285515655	0.193389641	0.246030655	0.227056123	0.239058082	0.265038564	0.328910777	0.246897064	0.263889677	0.431673677	0.234481105	0.338599345	0.319907636	0.293053386	0.2496273	0.318471914	0.2679212	0.309455373	0.201622082	0.346002695	0.293927327	0.174655409	0.242844277	0.2624942	0.455518223	0.306110241	0.211850123	0.304066323	0.225341805	0.2446424	0.297111805	0.273199564	0.419325168	0.291612486	0.239441914	0.264777532	0.297099591	0.294698873	0.257659868	0.276924732	0.227991991	0.261158745	0.209915414	0.248355223	0.364516114	0.189353214	0.348868636
h1600.2	0.393308341	0.291477518	0.216386023	0.293354305	0.246901664	0.433707918	0.399537627	0.226713055	0.223344573	0	0.199089759	0.188681777	0.247850509	0.194780041	0.357259205	0.232300368	0.251566009	0.308566077	0.267113259	0.232246145	0.315444409	0.2709183	0.2947531	0.234282223	0.232094791	0.241618914	0.308460745	0.306921509	0.29285435	0.263709827	0.248464423	0.433682395	0.284028577	0.296850591	0.335159955	0.227063368	0.275035773	0.32284785	0.201153009	0.271106345	0.2235492	0.308914114	0.222716691	0.210767927	0.337201059	0.354119318	0.38964205	0.393077695	0.318017805	0.270534332	0.294995468	0.233469727	0.321086295	0.319983727	0.516227986	0.377254086	0.243142332	0.297567159	0.354998573	0.361215018	0.295223468	0.291911323	0.224469391	0.237662082	0.297565286	0.269344005	0.307600686	0.195409968	0.338980582
